mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
28.8,25.7,32.2,25.7,1004.5,84,81,39.1,0,6.1,18.19,7.5,80,23.9
28.8,25.8,32.2,25.8,1003.5,84,84,18,0,7.4,21.15,5.2,80,28
29.6,27.7,32.6,26.2,1003.9,82,76,0.2,0,10.2,23.97,6,90,17.3
30.2,28,33.7,25.6,1006.2,77,46,0,0,8.8,20.39,6.3,170,8.9
28.3,26.9,30.1,26.1,1008.7,88,69,22.2,0,1.8,8.12,7,110,6.4
29.3,27.1,32.6,25.2,1009.5,79,61,3,0,6.7,20.22,4.7,190,11.7
29.8,27.9,32.7,25.7,1008.7,79,54,3.8,0,8,21.32,5.2,200,13
29.4,28,31.7,25.4,1009.2,79,56,8.7,0,6.9,16.48,3.1,190,11
28.1,26.1,29.6,24.9,1010.4,83,68,13.5,0,4.8,14.35,2.8,210,13.7
27.1,25.3,30.1,24.3,1010.3,85,80,5.1,0,1.4,10.43,2.5,200,13.5
28.3,26.2,32.6,25.1,1010.1,83,73,3.2,0,7.6,20.66,4.1,20,8.4
28.6,26.9,30.9,25.5,1011.7,84,74,0,0,5.5,16.28,4.2,50,16.3
27.5,25.3,30.1,26.1,1012.9,92,87,56.4,0,2.3,12.89,4.2,70,28.7
28,24.5,32.1,25.1,1012.6,85,82,22.1,0,8.7,23.58,4.9,30,15.2
29.4,27.2,32.8,25.1,1009.8,78,57,0,0,10.9,25.64,4.2,60,18.6
28.9,26.5,31.9,25.7,1008.4,83,74,9.1,0,9,22.68,3.9,90,32.3
28.5,25.1,31.8,25.5,1008.6,84,78,23.7,0,5.3,16.63,3.5,100,27.8
26.5,25.3,29.3,25.2,1010.4,93,88,42.6,0,2,13.03,2.2,90,18.4
28,26.3,30.5,24.6,1010.4,82,88,5.2,0,4.3,15.85,3.7,190,12
28.4,27.2,31.5,25,1008.7,82,67,0,0,5.3,12.54,3.5,160,5.8
28.8,26.4,32,24.5,1007.5,78,43,0,0,9.8,21.52,5.9,340,5.3
27.9,24.7,30.8,24.3,1007.2,81,44,30.1,8,5.4,11.33,5.6,360,6.7
29.2,27.1,32.9,24.8,1006.6,78,71,0,0,9.1,21.9,6,360,14.3
29.7,27.7,32.6,24.4,1004.1,74,80,0,0,7.6,16.95,5.2,350,10.6
30.4,28.1,33,23.8,1002.4,69,83,0,11,4.6,14.86,5.5,360,10.9
31.2,29,34.1,23,1002.9,62,78,0,21,7.2,18.14,6.2,340,14.4
29.5,25.7,31.3,23.4,1003.5,70,86,16.2,11,0.7,7.43,3.1,290,14.5
26,24.8,27.8,24.8,1003.6,93,88,47.4,3,0,2.2,3.8,160,28.8
26.8,25.2,28,24.7,1005.5,89,88,3.5,0,0.4,9.01,2.3,50,24.6
27.8,25.8,30.8,25.2,1007.5,86,70,4.9,0,5.1,16.26,3.9,80,13.8
29.3,26.8,32.1,24.9,1007.9,78,46,0,0,11.1,23.37,5.7,210,10.3
29.7,28.3,31.7,25.5,1007.2,79,59,0,0,9.4,23.72,6,220,19.7
29.9,26.3,32.4,26,1005.9,80,58,27.6,0,7.5,17.14,6.7,250,16.5
28.2,25.4,31.3,25,1005.8,83,84,22.5,0,4.7,15.3,5.2,180,8.9
28.1,23.9,31.2,24.4,1005.9,81,89,58.8,1,7.1,17.13,2.5,220,17.9
25.5,24.4,26.4,24.3,1008.9,93,96,51.8,0,0,4.43,1.5,230,14.7
25.2,23.8,28.8,24.1,1010.7,94,86,95.9,0,2,8.82,1.1,210,12.1
26.8,24.2,30.1,24.8,1011.1,89,48,0.1,0,10.5,23.32,5.2,90,14
27.2,26,29.9,24.7,1011.7,86,68,1.7,0,6.6,16.05,3.4,40,17.8
28.2,26,31.4,25,1011.5,83,58,1.7,0,9.8,24.22,5.2,90,16
28.9,26.7,32.3,24.7,1010.3,78,46,0,0,8.6,17.46,4.5,10,8.9
29.1,26.8,31.8,24.1,1009,75,41,0,0,11.1,22.37,5.6,210,14.3
29.7,27.5,32.7,24.8,1007.9,76,59,0,0,10.7,20.87,5.7,230,15.3
30.6,28.5,32.8,25.6,1004.2,75,71,0,0,8.9,17.32,5.3,270,22.8
28.3,25,30.8,24.8,1000,82,84,67,0,0,4.95,3.6,260,35.2
24.5,23.1,26.1,23.6,1007.4,95,92,178.8,0,0,1.52,2.7,200,29.1
25.4,24.3,26.5,23.9,1011.5,92,84,0.8,0,0,6.73,1.2,140,17.2
27,25.3,28.8,24.6,1011.9,87,87,0,0,1.7,12.74,3.7,30,14.3
27.7,26,31,24.6,1011.6,84,60,0,0,10.2,22.97,6.3,40,15.8
27.4,26.1,30.3,24.4,1012.5,84,67,0,0,6.2,16.24,2.7,70,23.9
27.6,26,30.6,24.2,1013.5,82,51,0,0,8.2,19.38,4.4,60,20.7
28.3,26.4,31.5,24.8,1012.9,82,54,0,0,9.4,21.27,4.7,110,14
28.6,26.7,31.9,24.6,1013.1,80,46,0,0,10.9,23.4,6.1,90,15.4
28.5,27.2,31,24.7,1013.4,80,68,0,0,7.4,18.05,4.6,60,31.7
27.7,26.1,30.7,24.3,1013.1,82,81,4.4,5,4.5,14.48,4,70,35.4
27.6,25.8,30.5,23.7,1012.4,80,71,0,0,9.1,21.12,5.3,70,40.1
28.4,26,31.6,23.3,1011.7,74,63,0,0,9.2,20.28,5.6,50,28.8
28.1,26.3,30.7,22.4,1012.4,72,83,0,0,7.4,16.34,7,30,26.9
25.5,24.2,26.6,18.9,1013.7,67,92,0,0,1.1,8.7,3.6,30,30.3
24.1,22.9,25.1,19.9,1013.9,78,89,2.2,0,0,4.59,0.1,80,35.6
24.2,22.3,25.4,20.9,1013.6,82,90,0.9,0,0.8,8.33,2.9,80,39.4
25.4,24.5,26.6,21.2,1012.3,78,91,0,0,0.4,6.93,2.3,60,36.8
26.4,25.2,28.3,22.4,1010.7,79,88,0,0,2.3,11.7,2.1,70,31.2
25.8,23.9,27,22.3,1009.2,81,88,1.4,0,0.9,9.09,2.4,80,35.7
25,24.1,26.1,23.7,1009.2,93,89,10.2,0,0,1.33,0.6,100,42.2
26.4,25.3,28,25.1,1012,93,87,3.7,1,2.5,10.25,1.4,90,30.8
27.6,26.1,30.5,24.7,1013,85,57,0,0,8.3,18.86,4.5,80,19
27.6,25.6,30.9,24.2,1011.9,83,40,0,0,8.5,18.91,4,70,18.8
27.9,26.4,30.8,24.5,1010.9,82,58,0,0,8.2,18.18,4.6,70,21.5
26,23.5,27.3,23.4,1012.9,86,87,3.9,0,1.7,8.52,3.4,90,30.4
25.2,23.5,26.6,21.4,1013.5,80,84,0.2,0,3.1,11.32,2.9,50,36.8
26.4,24.6,28.9,22.1,1013.7,77,76,0,1,7.7,18.06,5.1,80,41.1
26.6,25.2,30.4,21.2,1012.3,73,61,0,8,9.5,18.39,6,90,22.6
26.1,24.2,28.4,18.2,1009.8,62,81,0,0,6.5,13.49,5.3,20,29.8
26.4,24.9,28.7,18.6,1006.4,62,86,0,2,3.2,10.66,5.3,20,40.6
25.5,23.2,28.2,18.4,1004.1,65,88,0,1,2,10.74,3.6,10,45.6
